coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
PENDLE/USDT,0.0007769389857952094,0.0015218875653955832,0.0006638232024147678,0.000681222319104662,0.0007780399148394669,0.0014684534538246122,0.0004754175574692251,0.00043217032127383973,0.0010226980432287208,0.0017703565777519444,0.8016040939342112,9.301e-05,12727082.964,12286898.6413
RUNE/USDT,0.0006831688258254955,0.0013639687612902694,0.000820324737489865,0.0007852746572870922,1.7110509294741793e-05,0.0007804364695568303,0.0005197291684952013,0.0004717298992226503,0.0007333719065573781,0.0012839774187462067,0.7458783799079625,1.25e-05,12198498.406599998,15023896.12369
FXS/USDT,0.0009932551429147347,0.0021516068142284706,0.0006742533006264016,0.0006318690588878516,0.0007720802272875117,0.0019674033294709257,0.0006248109181161513,0.0003245808277326663,-0.0010632169969102781,0.0015814446735253225,0.5128126035224575,7.775e-05,3508521.2748,1041783.18581
ZK/USDT,0.0009012982879370084,0.001720888397083671,0.0016144317541529213,0.0016705002623982979,0.0010424835535892743,0.0019236718979542466,0.00048382572592743596,0.00032725924652303825,0.0014035199817857883,0.0018867978719098214,0.4954009559248437,1.25e-05,4807430.73756,1906947.26898
BTC/USDT,0.0007958621816411324,0.0008082919452766283,0.00033410675321175336,0.0003330933649389225,0.0007774988936755521,0.0007877773723922378,0.0001876416414909617,0.00018811023855745373,0.0010050656487884896,0.001014670403291042,0.46136334689856073,3.945e-05,1005360800.8554001,3633328272.916501
UNI/USDT,0.0007911276683790071,0.001423404014493555,0.0006338462612384282,0.0006203925688980911,0.0008456846160579836,0.001490310187850157,0.000849313823315443,0.0008412928495091164,0.0009744006170108978,0.0019438864030515437,0.4280469433096757,2.262e-05,8461899.8856,17054050.58200001
ETH/USDT,0.000875621973162589,0.0009097201494650118,0.0005070664634058149,0.0005098456373167085,0.0004350217803217404,0.00046488925496219335,0.00021180564039567366,0.00021186554827528871,0.0006846123493888673,0.0007123257482752702,0.416500660328983,5.226e-05,897988808.86776,2703887070.8310895
SUI/USDT,-4.9929518271167426e-05,0.0002154400561824831,0.0004976863432817656,0.0005145681255028393,-0.00037408178844320104,-9.429583708891089e-05,0.00045297270818182405,0.0004941072621273017,-0.00010405412321710598,6.241064423671394e-05,0.40558351979482665,1.25e-05,42171448.840619996,94097187.40891
EIGEN/USDT,0.0006254196704270263,0.0012735875343169393,0.0006095900673515354,0.0006334430740510271,0.0003278897244403231,0.0009425220841117524,0.0005249088154787425,0.0005620345072377355,0.0007239433210332157,0.0012874323174018511,0.3767803895600679,2.527e-05,26871841.132757995,16152000.14865
BRETT/USDT,0.0008233974349097422,0.0015203057779153678,0.0004529567424599348,0.0004517295721354611,0.0007336284062036829,0.0015049910784242602,0.0002925809754248753,0.00020709245283159178,0.0008381910825969723,0.0017970157580788394,0.3595811721018592,1.25e-05,3296516.95116,1880767.6387
CAKE/USDT,0.00066369058224052,0.0015215408699337267,0.0005548676460434467,0.0005069228264658972,0.0014516116975909446,0.0021927048304910624,0.0003281570091585201,0.0003496520453387253,0.0014628835034256715,0.0028371744287680467,0.323994522072684,1.25e-05,812555.80734,1483637.73348
ZRO/USDT,0.0006685458218258188,0.0012102315648045711,0.000828564805363139,0.0008590307545249773,0.0005738902735057278,0.0009686171165747955,0.00026591907154838114,0.0002898517991760971,0.0007705477719807328,0.001090760973677129,0.3222806653412458,1.25e-05,8457636.72576,12148610.18075
BNT/USDT,0.00010776463367843681,0.0025714875016870893,0.0009787824489960446,0.0008768543694329612,0.0003695186926310215,0.0028526401088557335,0.0005850285910401194,0.0005901041365704415,0.0006926924547624285,0.0032052796241780045,0.267943193371486,1.25e-05,491890.85400000005,127110.64539
KAS/USDT,0.0009799939331050095,0.0015030969896550816,0.0005497858881957734,0.0004547591603481152,0.0009173630545380925,0.0014976156814492405,0.0003712602810287078,0.00023184817755151735,0.0008434722740990675,0.0014930664428988768,0.23706224867178752,1.25e-05,773909.2407600001,1295875.54478
CHILLGUY/USDT,,,0.0010517440109794397,0.0010166966786031855,0.001445950884928636,0.002343502936127247,0.0008433341185905919,0.0008773852587771753,0.0005504713145964002,0.0011747763895604254,0.23233237807562912,1.25e-05,6608801.18152,13902042.49115001
