coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
PENDLE/USDT,0.0007513248261430637,0.0014996996455251563,0.0006358822577040682,0.0006629242608507084,0.0008597960898179313,0.0015531845565582418,0.0005435955755781829,0.0005268730184724261,0.0018065207148247572,0.002613011205793902,0.801611004488734,7.135e-05,12622608.034400001,12300760.4045
RUNE/USDT,0.0006817640776888488,0.0013666702427101416,0.0007906976918636789,0.000764844437736642,0.00026107968215931834,0.0010292066203070368,0.0004944387740961072,0.0004556567815151123,0.0007946298874386985,0.0014220479796056664,0.7857196914275743,4.929e-05,12094153.047600001,14983470.12057
FXS/USDT,0.0009948518777373283,0.002151407227565708,0.0006702315990825684,0.0006301046802333094,0.0007710865444932984,0.0019868915644215466,0.0006499615984744952,0.0003455508176562499,0.001590679444623256,0.0025752715592016894,0.6726478702202306,7.759e-05,3495253.1934399996,999564.90022
BRETT/USDT,0.0008404241973488289,0.0015361605014796082,0.0004480408859360299,0.0004287039854406877,0.0007506884680477695,0.0015666343309728343,0.00032207449928188216,0.00023491308203184728,0.0009651442088382945,0.001810435472994528,0.619765616648346,1.25e-05,3275712.80288,1890613.62425
CAKE/USDT,0.0006809182913010945,0.0015430580269515525,0.0005927107509625813,0.0005511113332234986,0.001500771345816057,0.002307101299514838,0.000324479063053072,0.00034807160533132834,0.0016449886362344469,0.0027440701092778077,0.568944355241459,1.25e-05,806763.75048,1506231.64815
SUI/USDT,-5.3578146237026375e-05,0.00021249065044390693,0.0004885100421016695,0.0005133971040318185,-0.00038735643652351465,-0.00010552373013906469,0.00044311583137265106,0.00048324473769246524,-0.00043990784273103,-0.0002514043175077288,0.4944449804963321,1.25e-05,40516601.8915,92116016.36227003
KAS/USDT,0.000986974944794017,0.0015118800529310653,0.0005405855408219555,0.00045177576119357764,0.0009475127315043153,0.0015331293204083613,0.00038203250502879074,0.00024268594751162783,0.0014280642986452862,0.001752932830297395,0.45584272734639947,1.25e-05,784218.6429600001,1259183.00606
ZK/USDT,0.0009088346896711163,0.0017285010485831379,0.0015927478890228105,0.0016382643348475515,0.001086198566754174,0.0019520926724588248,0.00047237843148196775,0.00031142896682731074,0.0012307664850255604,0.0019789139429728583,0.44214729261647207,1.25e-05,4788624.83926,1902820.79932
BTC/USDT,0.000800393948615833,0.0008126946089234994,0.00032455109479127446,0.0003235617067265206,0.0008249909064837501,0.000835260357296249,0.0001789004531620455,0.00017921131043302865,0.0008473320461398504,0.0008569446781488775,0.434249218609839,2.465e-05,992654434.9304401,3624233857.582899
JTO/USDT,0.0003279825845714984,0.0010886370367439132,0.0005909663487752134,0.000611159473268082,0.0008027054333968415,0.001532432139986084,0.00026292961938029295,0.0003075936307714253,0.0009490096567030521,0.001577276153647384,0.388493982772139,3.423e-05,7363891.33,4896183.8234
